0 - Корреспонденция;;0
Входящие;0 - Корреспонденция;1
август 2026;Входящие;2
апрель 2026;Входящие;2
июль 2026;Входящие;2
июнь 2026;Входящие;2
май 2026;Входящие;2
март 2026;Входящие;2
февраль 2026;Входящие;2
январь 2026;Входящие;2
Исходящие;0 - Корреспонденция;1
Август 2026;Исходящие;2
Июль 2026;Исходящие;2
0 - ПТО;;0
0 - Сметчики;0 - ПТО;1
графики;0 - Сметчики;2
для прорабов;0 - Сметчики;2
Аурум;для прорабов;3
Всполье;для прорабов;3
Соколиный парк;для прорабов;3
Фамилия 3;для прорабов;3
ДОГОВОРА;0 - Сметчики;2
!!!!!Бланки списание материалов;ДОГОВОРА;3
!!!!Протокол разногласий бланк;ДОГОВОРА;3
!!!!спецификации!!!;ДОГОВОРА;3
АО Газпром газораспределение Владимир;ДОГОВОРА;3
Суздаль;АО Газпром газораспределение Владимир;4
1 дом;Суздаль;5
2 дом;Суздаль;5
3 дом;Суздаль;5
ИП  Абрамов О.А;ДОГОВОРА;3
Еловая;ИП  Абрамов О.А;4
СВК;ИП  Абрамов О.А;4
Строителей;ИП  Абрамов О.А;4
ИП  Логинов;ДОГОВОРА;3
ИП Абдулаем;ДОГОВОРА;3
ИП Акинина О.С;ДОГОВОРА;3
ИП Алексеев А.А;ДОГОВОРА;3
ИП Артемьев В.В;ДОГОВОРА;3
ИП Арютинян А.Г;ДОГОВОРА;3
автоконтроль;ИП Арютинян А.Г;4
елов;автоконтроль;5
строит;автоконтроль;5
АУРУМ;ИП Арютинян А.Г;4
допник основа;ИП Арютинян А.Г;4
Новая папка;допник основа;5
еловая ватутина;ИП Арютинян А.Г;4
ИС Еловая;ИП Арютинян А.Г;4
ИС Строителей;ИП Арютинян А.Г;4
КАСКАД;ИП Арютинян А.Г;4
каскад ватутина;КАСКАД;5
новый договор;КАСКАД;5
свк;ИП Арютинян А.Г;4
суздальремстрой;ИП Арютинян А.Г;4
флориаль;ИП Арютинян А.Г;4
поставка;флориаль;5
ИП Бещеков Я.Н;ДОГОВОРА;3
Аурум;ИП Бещеков Я.Н;4
еловая;ИП Бещеков Я.Н;4
2;еловая;5
ИП Бещиков Я.Н;ИП Бещеков Я.Н;4
каскад;ИП Бещеков Я.Н;4
Новая папка;ИП Бещеков Я.Н;4
основа;ИП Бещеков Я.Н;4
2;основа;5
свк;ИП Бещеков Я.Н;4
строителей;ИП Бещеков Я.Н;4
2 подник;строителей;5
Суздаль;ИП Бещеков Я.Н;4
2 д;Суздаль;5
3 дом;Суздаль;5
Суздаль 1 дом;Суздаль;5
ФЛОРИАЛЬ;ИП Бещеков Я.Н;4
1;ФЛОРИАЛЬ;5
ИП Боков И.Е;ДОГОВОРА;3
111;ИП Боков И.Е;4
демонтаж стяжки;ИП Боков И.Е;4
еловая;ИП Боков И.Е;4
стяжка пола 650;еловая;5
КАСКАД;ИП Боков И.Е;4
доп работы отдельный догоовр;КАСКАД;5
допник от 25.12.2024 уборка снего, пушки,тент;КАСКАД;5
замена расценки каскад;КАСКАД;5
котельная;КАСКАД;5
машин отделение;КАСКАД;5
Новая папка;КАСКАД;5
Новая папка (2);КАСКАД;5
обслуживание дома;КАСКАД;5
сантехника 2 допик;КАСКАД;5
сантехника продление сроков;КАСКАД;5
электрика;КАСКАД;5
электрика 5 допник;КАСКАД;5
полы 3 кп;ИП Боков И.Е;4
строителей 39.3;ИП Боков И.Е;4
2;строителей 39.3;5
удорожание расценки;строителей 39.3;5
укладка плитки;ИП Боков И.Е;4
утеплитель;ИП Боков И.Е;4
Фасад;ИП Боков И.Е;4
электрика допник;ИП Боков И.Е;4
ИП борисов В.А;ДОГОВОРА;3
строителей;ИП борисов В.А;4
ИП Борисов КС электрика;ДОГОВОРА;3
ИП Боруцкая;ДОГОВОРА;3
исправление вида работ от 22.08.2024г;ИП Боруцкая;4
КАСКАД;ИП Боруцкая;4
козырьки над приямками Еловая;ИП Боруцкая;4
козырьки над приямками Строителей;ИП Боруцкая;4
лестница на лифты шахты;ИП Боруцкая;4
Новая папка;ИП Боруцкая;4
Новая папка (2);ИП Боруцкая;4
ограждение приямков;ИП Боруцкая;4
основа;ИП Боруцкая;4
строителей лестницы+ шахты;ИП Боруцкая;4
на печать;строителей лестницы+ шахты;5
ИП Боталов;ДОГОВОРА;3
ИП Бубнов А.А;ДОГОВОРА;3
1;ИП Бубнов А.А;4
2;ИП Бубнов А.А;4
ИП Быков А.Ю;ДОГОВОРА;3
Новая папка;ИП Быков А.Ю;4
1;Новая папка;5
ИП Волков В.С;ДОГОВОРА;3
Аурум;ИП Волков В.С;4
каскад;ИП Волков В.С;4
1;каскад;5
ИП Волков С.Н;ДОГОВОРА;3
Еловая;ИП Волков С.Н;4
каскад;ИП Волков С.Н;4
Озерная;ИП Волков С.Н;4
строителей;ИП Волков С.Н;4
ИП Волкова  Т.И;ДОГОВОРА;3
49а;ИП Волкова  Т.И;4
49б;ИП Волкова  Т.И;4
еловая;ИП Волкова  Т.И;4
3;еловая;5
Новая папка;еловая;5
жуквоского;ИП Волкова  Т.И;4
4 допник;жуквоского;5
5;жуквоского;5
продление сроков до 2025 года;жуквоского;5
каскад;ИП Волкова  Т.И;4
2 допик;каскад;5
3;каскад;5
Озерная;ИП Волкова  Т.И;4
строителей;ИП Волкова  Т.И;4
Фирма Флореаль;ИП Волкова  Т.И;4
ИП Воробьев;ДОГОВОРА;3
ИП Гордиков и ИП Мамедов;ДОГОВОРА;3
гордиков;ИП Гордиков и ИП Мамедов;4
1;гордиков;5
2;гордиков;5
3;гордиков;5
4;гордиков;5
Новая папка;гордиков;5
маманов;ИП Гордиков и ИП Мамедов;4
1;маманов;5
ИП Григорян;ДОГОВОРА;3
Новопарк асфальст;ИП Григорян;4
ИП Григорян Л.Г;ДОГОВОРА;3
ИП Гусаров;ДОГОВОРА;3
3 допник еловая;ИП Гусаров;4
4 допник еловая;ИП Гусаров;4
49а;ИП Гусаров;4
ИП Дмитриев;ДОГОВОРА;3
автоконтроль;ИП Дмитриев;4
аурум;автоконтроль;5
каскад;ИП Дмитриев;4
лоджии;каскад;5
отливы;каскад;5
СВК;ИП Дмитриев;4
ИП Ефремова;ДОГОВОРА;3
Аурум;ИП Ефремова;4
1;Аурум;5
2;Аурум;5
еловая;ИП Ефремова;4
КП;еловая;5
каскад;ИП Ефремова;4
2 допик;каскад;5
3;каскад;5
4;каскад;5
5;каскад;5
6;каскад;5
строителей;ИП Ефремова;4
3 допик;строителей;5
4;строителей;5
ИП Жарова;ДОГОВОРА;3
ИП Затягин;ДОГОВОРА;3
Озерная;ИП Затягин;4
ИП Казаков А.В;ДОГОВОРА;3
Еловая;ИП Казаков А.В;4
Строителей;ИП Казаков А.В;4
ИП Калайков;ДОГОВОРА;3
ИП Караулов;ДОГОВОРА;3
ИП Кашицын А.О;ДОГОВОРА;3
еловая опоры освещения;ИП Кашицын А.О;4
каскад;ИП Кашицын А.О;4
2;каскад;5
3;каскад;5
ОЗЕРНАЯ;ИП Кашицын А.О;4
1;ОЗЕРНАЯ;5
Суздальремстрой -2;ИП Кашицын А.О;4
ИП Клавдиев;ДОГОВОРА;3
ИП Кочетков;ДОГОВОРА;3
каскад;ИП Кочетков;4
Суздальремстрой 2;ИП Кочетков;4
газопровод фасадный  и;Суздальремстрой 2;5
канализация вода;Суздальремстрой 2;5
флореаль;ИП Кочетков;4
ИП Кузнецов А.И;ДОГОВОРА;3
ИП Купчин В.А;ДОГОВОРА;3
ИП ЛАРИОНОВ;ДОГОВОРА;3
для судебного офис г.Ковров;ИП ЛАРИОНОВ;4
еловая94,3;ИП ЛАРИОНОВ;4
10;еловая94,3;5
11;еловая94,3;5
12;еловая94,3;5
13;еловая94,3;5
14;еловая94,3;5
15;еловая94,3;5
16;еловая94,3;5
17;еловая94,3;5
18;еловая94,3;5
5 допик;еловая94,3;5
6 допик;еловая94,3;5
7 допник;еловая94,3;5
8 допик;еловая94,3;5
9допник;еловая94,3;5
елова  сбивка выступающих частей бетона;еловая94,3;5
исправления;ИП ЛАРИОНОВ;4
КАСКАД;ИП ЛАРИОНОВ;4
10;КАСКАД;5
12;КАСКАД;5
13;КАСКАД;5
3 допик;КАСКАД;5
4 допик;КАСКАД;5
5 допник;КАСКАД;5
6;КАСКАД;5
7;КАСКАД;5
8;КАСКАД;5
9;КАСКАД;5
КП ВСЕ;ИП ЛАРИОНОВ;4
Н.Дуброва 49а СВК;ИП ЛАРИОНОВ;4
на подпись и печать кс проверенные;ИП ЛАРИОНОВ;4
ОЗЕРНАЯ;ИП ЛАРИОНОВ;4
1;ОЗЕРНАЯ;5
2;ОЗЕРНАЯ;5
3;ОЗЕРНАЯ;5
4;ОЗЕРНАЯ;5
5;ОЗЕРНАЯ;5
ОСНОВА;ИП ЛАРИОНОВ;4
10;ОСНОВА;5
11;ОСНОВА;5
12;ОСНОВА;5
13;ОСНОВА;5
допик родление сроков;ОСНОВА;5
Новая папка;ОСНОВА;5
фасад;ОСНОВА;5
свк 49 б;ИП ЛАРИОНОВ;4
Новая папка;свк 49 б;5
с юо допики;свк 49 б;5
Строителей 393;ИП ЛАРИОНОВ;4
10;Строителей 393;5
11;Строителей 393;5
12;Строителей 393;5
14;Строителей 393;5
15;Строителей 393;5
16;Строителей 393;5
17;Строителей 393;5
18;Строителей 393;5
6 допик;Строителей 393;5
7 доик;Строителей 393;5
8 допик;Строителей 393;5
9;Строителей 393;5
замазка отверстий Строителей;Строителей 393;5
Суздальремстрой-2;ИП ЛАРИОНОВ;4
1 дом;Суздальремстрой-2;5
2 дом;Суздальремстрой-2;5
3 дом;Суздальремстрой-2;5
УПД бланки;ИП ЛАРИОНОВ;4
УПД ГОТОВЫЕ;ИП ЛАРИОНОВ;4
Фирма Флорель;ИП ЛАРИОНОВ;4
2 допник;Фирма Флорель;5
3;Фирма Флорель;5
4;Фирма Флорель;5
5;Фирма Флорель;5
6;Фирма Флорель;5
7;Фирма Флорель;5
демонтаж;Фирма Флорель;5
Новая папка;Фирма Флорель;5
строительная площадка;Фирма Флорель;5
ИП Лобавнов;ДОГОВОРА;3
1 дом;ИП Лобавнов;4
2 ДОМ;ИП Лобавнов;4
3 дом;ИП Лобавнов;4
ИП Луканин В.А;ДОГОВОРА;3
1 допник;ИП Луканин В.А;4
2 допик;ИП Луканин В.А;4
СЗ Автоконтроль;ИП Луканин В.А;4
Озерная;СЗ Автоконтроль;5
ИП Мальков;ДОГОВОРА;3
Суздальремстрой 2;ИП Мальков;4
2 дом;Суздальремстрой 2;5
3;Суздальремстрой 2;5
4;Суздальремстрой 2;5
ИП МАМАНОВ;ДОГОВОРА;3
ИП Марценюк Е;ДОГОВОРА;3
Аурум;ИП Марценюк Е;4
1;Аурум;5
2;Аурум;5
Каскад;ИП Марценюк Е;4
ИП Матусевин В.В,;ДОГОВОРА;3
основа;ИП Матусевин В.В,;4
ИП Махова;ДОГОВОРА;3
Каскад;ИП Махова;4
1;Каскад;5
2;Каскад;5
СВК 49а;ИП Махова;4
